Price;Location;Spare;Length;Width;Direction;Amenities,,,,
1.45 tỷ; Đường Quang Minh Thanh Lâm, Mê Linh, Hà Nội; 58 m²; 14 m; 4 m; --;0,,
1.98 tỷ; Xã Đại Áng, Huyện Thanh Trì, TP. Hà Nội; 66 m²; --; 4 m; --;0,,
1.68 tỷ; Đường D30 Vĩnh Hiệp, Nha Trang, Khánh Hòa; 105 m²; 15 m; 8 m; --;0,,
950 triệu; Đường 603 Điện Ngọc, Điện Bàn, Quảng Nam; 201 m²; 9 m; 5 m; --;0,,
3.65 tỷ; Đường Ngô Đến, Phường Ngọc Hiệp, TP. Nha Trang, Khánh Hòa; 117 m²; 20 m; 6 m; T.Nam;0,
2.5 tỷ; Xã Phước Lý, Huyện Cần Giuộc, Long An; 80 m²; 5 m; 16 m; --;1,,
630 triệu; Quốc Lộ 50, Xã Quy Đức, Huyện Bình Chánh, TP. Hồ Chí Minh; 95 m²; --; --; --;0,
450 triệu; Đường 10, Xã Tân Viên, Huyện An Lão, TP Hải Phòng; 68 m²; 12 m; 6 m; --;0,
1.15 tỷ; Xã Phước Lợi, Huyện Bến Lức, Long An; 80 m²; 16 m; 4.99 m; --;1,,
1.1 tỷ; Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương; 80 m²; --; --; --;0,,
3.36 tỷ; Hồ Học Lãm, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh; 61 m²; --; --; --;1,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;1,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;1,,
989 triệu; Nguyễn Tất Thành, Xã Đại An, Huyện Đại Lộc, Quảng Nam; 139 m²; --; 8 m; --;1,
1.48 tỷ; Xã Thanh Lâm, Huyện Mê Linh, TP. Hà Nội; 80 m²; 16 m; 5 m; T.Bắc;0,,
899 triệu; Đường Hùng Vương Phú Lộc, Krong Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;0,,
300 triệu; TL 623B, Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 20 m; 5 m; Bắc;1,
288 triệu; Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 133 m²; 25 m; 56 m; Đ.Nam;1,,
340 triệu; Liên Ấp 2-6, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 56 m²; 14 m; 4 m; --;1,
1.1 tỷ; Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương; 70 m²; --; --; --;0,,
2.1 tỷ; Phường Hải Thành, Quận Dương Kinh, TP. Hải Phòng; 45 m²; --; --; --;1,,
935 triệu; Đường Âu Cơ, Phường 1, TP Bảo Lộc, Lâm Đồng; 160 m²; 32 m; 5 m; --;0,
798 triệu; Tỉnh lộ 8C , Xã Khánh Hiệp, Huyện Khánh Vĩnh, Khánh Hòa; 2,100 m²; 56 m; 58 m; Nam;1
2.4 tỷ; Xã Y Tý, Huyện Bát Xát, Lào Cai; 800 m²; --; --; Nam;0,,
480 triệu; Xã Bến Củi, Huyện Dương Minh Châu, Tây Ninh; 140 m²; 28 m; 5 m; --;0,,
1.65 tỷ; Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 99 m²; --; --; --;1,,
730 triệu; Xã Truông Mít, Huyện Dương Minh Châu, Tây Ninh; 529.20 m²; --; --; Tây;1,,
770 triệu; Đường Suối Thông B, Xã Đạ Ròn, Huyện Đơn Dương, Lâm Đồng; 175 m²; 25 m; 7 m; Bắc;1,
500 triệu; Xã Tân Hương, Huyện Châu Thành, Tiền Giang; 110 m²; 23 m; 4.98 m; --;0,,
850 triệu; Đường Tỉnh 826, Xã Long Trạch, Huyện Cần Đước, Long An; 100 m²; 20 m; 5 m; --;1,
550 triệu; Đường 304, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng; 80 m²; --; --; --;1,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; --; --; --;1,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; --; --; --;0,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; Đ.Nam;0,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,,
600 triệu; TỈNH LỘ 6 , Xã Ninh Thượng, Thị xã Ninh Hòa, Khánh Hòa; 305 m²; 35 m; 8 m; --;0,
580 triệu; Xã Thạnh Đức, Huyện Gò Dầu, Tây Ninh; 125 m²; 25 m; 5 m; --;0,,
200 triệu; Dương Văn Hạnh, Thị trấn Cần Thạnh, Huyện Cần Giờ, TP. Hồ Chí Minh; 1,000 m²; 30 m; 33 m; --;1
490 triệu; Đường 743A, Phường Dĩ An, TP. Dĩ An, Bình Dương; 1,200 m²; --; --; --;0
2.6 tỷ; Tỉnh lộ 10, Phường Phú Thượng, Huyện Phú Vang, Thừa Thiên Huế; 105 m²; 21 m; 5 m; Nam;1,
1.05 tỷ; Đường 13, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;0,
460 triệu; Đường ĐT 781, Xã Suối Đá, Huyện Dương Minh Châu, Tây Ninh; 250 m²; 50 m; 5 m; --;0,
680 triệu; Xã An Viễn, Huyện Trảng Bom, Đồng Nai; 100 m²; 20 m; 5 m; --;0,,
899 triệu; Thị trấn Krông Năng, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0,,
900 triệu; Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, TP. Hồ Chí Minh; 132 m²; 22 m; 6 m; Đ.Bắc;1,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,,
901 triệu; Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,
899 triệu; Thị trấn Krông Năng, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 5 m; --;1,,
908 triệu; Thị trấn Krông Năng, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,,
899 triệu; Thị trấn Krông Năng, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,,
903 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,,
899 triệu; Thị trấn Krông Năng, Huyện Krông Năng, Đắk Lắk; 100 m²; --; --; --;0,,
1.94 tỷ; Trần Hưng Đạo, Phường Hoà Vinh, Huyện Đông Hòa, Phú Yên; 140 m²; 28 m; 5 m; Đông;1,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,,
900 triệu; Phường Dịch Vọng, Quận Cầu Giấy, TP. Hà Nội; 132 m²; 22 m; 6 m; Đ.Bắc;1,,
1.2 tỷ; Thị trấn Hà Lam, Huyện Thăng Bình, Quảng Nam; 120 m²; 20 m; 6 m; Đ.Nam;1,,
898 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 22 m; 6 m; --;1,,
330 triệu; Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam; 100 m²; 20 m; 5 m; Đ.Nam;1,
535 triệu; QL50, Thị trấn Cần Đước, Huyện Cần Đước, Long An; 104 m²; --; --; --;1,
800 triệu; Thị trấn Long Thành, Huyện Long Thành, Đồng Nai; 1,000 m²; 40 m; 25 m; --;1,
1.1 tỷ; Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 18 m; 5 m; --;1,,
6 tỷ; Đường Quốc Lộ 6, Xã Thu Phong, Huyện Cao Phong, Hòa Bình; 5,689 m²; --; --; --;0
360 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 40 m²; --; --; --;0,,
7.5 tỷ; Đường Liên Huyện, Phường An Phú, TP. Thuận An, Bình Dương; 163 m²; 25 m; 7 m; --;1,
799 triệu; Nguyễn Tất Thành, Thị Trấn Ái Nghĩa, Huyện Đại Lộc, Quảng Nam; 150 m²; --; --; --;0,
2.8 tỷ; Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh; 100 m²; 5 m; 20 m; --;1,
420 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 48 m²; --; --; --;0,,
2.5 tỷ; Đường Lê Văn Lương, Phường Tân Phong, Quận 7, TPHCM; 100 m²; 20 m; 5 m; --;0,
379 triệu; Đường 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 430 m; 5 m; --;1,
1.39 tỷ; Đường Số 1H, Phường Tân Thuận Đông, Quận 7, TP. Hồ Chí Minh; 105 m²; --; --; --;0,
330 triệu; Đường ĐT 756B, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 750 m²; 50 m; 14.99 m; --;1,
1.39 tỷ; Đường Số 1H, Phường Tân Thuận Đông, Quận 7, TP. Hồ Chí Minh; 90 m²; --; --; --;0,
500 triệu; Xã Lộc Thành, Huyện Lộc Ninh, Bình Phước; 1,000 m²; 5 m; 50 m; --;1,
899 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; 6 m; 22 m; --;0,,
35 tỷ; Khu villa thủ thiêm, Phường Thạnh Mỹ Lợi, TP. Thủ Đức, TP. Hồ Chí Minh; 196 m²; --; --; --;1,
6.3 tỷ; Đường Đặng Ma La, Kênh Dương, Lê Chân, Hải Phòng; 100 m²; 20 m; 5 m; --;0,
34 tỷ; 88 TML, Phường Thạnh Mỹ Lợi, TP. Thủ Đức, TP. Hồ Chí Minh; 177 m²; --; --; --;1,
520 triệu; Đường Quốc Lộ 6 Mỹ Hòa, Tân Lạc , Hòa Bình; 665 m²; --; --; --;0,,
1.5 tỷ; Quốc Lộ 50, Xã Phong Phú, Huyện Bình Chánh, TP. Hồ Chí Minh; 140 m²; --; --; --;0,
546 triệu; Đường Lái Thiêu 12, Phường Lái Thiêu, TP. Thuận An, Bình Dương; 100 m²; 5 m; 20 m; Đông;1,
3.5 tỷ; Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, TP. Hồ Chí Minh; 62.20 m²; 15.5 m; 4 m; T.Nam;1,
2.5 tỷ; Xã Chiềng Sơn, Huyện Mộc Châu, Sơn La; 860 m²; --; --; --;0,,
36.5 tỷ; 280a Lương Định Của, Phường An Phú, TP. Thủ Đức, TP. Hồ Chí Minh; 126 m²; 7 m; 18 m; --;1,
2.4 tỷ; Đường Hồ Chí Minh Ba Hàng Đồi, Lạc Thủy, Hòa Bình; 1,200 m²; --; --; --;0,
2.55 tỷ; Phường Long Bình, TP. Thủ Đức, TP. Hồ Chí Minh; 105 m²; 21 m; 5 m; --;1,,
2.55 tỷ; Phường Long Bình, TP. Thủ Đức, TP. Hồ Chí Minh; 105 m²; 21 m; 5 m; --;1,,
1.35 tỷ; Xã Phước Đồng, TP. Nha Trang, Khánh Hòa; 118 m²; 15 m; 8 m; Đ.Nam;0,,
7.73 tỷ; Đường 12 Hiệp Thạnh, Gò Dầu, Tây Ninh; 3,865 m²; --; --; --;0,
500 triệu; Xã Phú Ngọc, Huyện Định Quán, Đồng Nai; 2 m²; --; --; --;0,,
900 triệu; Tỉnh lộ 2, Xã Phước Vĩnh An, Huyện Củ Chi, TP. Hồ Chí Minh; 100 m²; 5 m; 20 m; --;1,
379 triệu; Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 29 m; 5 m; --;1,,
500 triệu; DT610B, Xã Điện Phong, Thị xã Điện Bàn, Quảng Nam; 110 m²; 20 m; 5 m; Bắc;1,
500 triệu; Đường 304, Xã Quốc Tuấn, Huyện An Lão, TP. Hải Phòng; 67 m²; 15 m; 4 m; Đ.Nam;1,
570 triệu; Đường ĐT 759 Phước Tín, Phước Long, Bình Phước; 110 m²; 18 m; 6 m; --;0,,
800 triệu; Đường 301 Bát Trang, An Lão, Hải Phòng; 72 m²; 16 m; 5.25 m; --;0,,
1.6 tỷ; Nguyễn Văn Khạ, Xã Tân An Hội, Huyện Củ Chi, TP. Hồ Chí Minh; 90 m²; 18 m; 5 m; Đông;1,
550 triệu; Thị trấn Trảng Bàng, Huyện Trảng Bàng, Tây Ninh; 150 m²; --; --; --;1,,
1.4 tỷ; Nguyễn Thị Rành, Xã Nhuận Đức, Huyện Củ Chi, TP. Hồ Chí Minh; 566 m²; 47 m; 12 m; --;1,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 80 m²; 16 m; 5 m; --;0,,
939 triệu; Đường Âu Cơ, phường 1, Bảo Lộc, Lâm Đồng; 180 m²; 36 m; 5 m; --;0,
280 triệu; Xã Nghĩa Lâm, Huyện Tư Nghĩa, Quảng Ngãi; 130 m²; 25 m; 5 m; Đ.Nam;1,,
2.5 tỷ; Đường Lê Văn Lương, Tân Phong, Quận 7, TP. HCM; 100 m²; 20 m; 5 m; --;0,
1.6 tỷ; Đường Bồ Sơn 1, Võ Cường, TP. Bắc Ninh, Bắc Ninh; 60 m²; 12 m; 5 m; --;0,
490 triệu; Xã Điện Phong, Thị xã Điện Bàn, Quảng Nam; 130 m²; 25 m; 7 m; Nam;1,,
700 triệu; Xã Đạm Bri, TP. Bảo Lộc, Lâm Đồng; 502 m²; 54 m; 9.2 m; --;1,,
739 triệu; Xã Tân Phúc, Huyện Ân Thi, Hưng Yên; 70 m²; 14 m; 5 m; --;0,,
1.6 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; --; --; --;0,,
1.2 tỷ; Đường 769, Xã Bình Sơn, Huyện Long Thành, Đồng Nai; 100 m²; 20 m; 4.92 m; --;1,
1.5 tỷ; ĐT769, Xã Lộ 25, Huyện Thống Nhất, Đồng Nai; 150 m²; 30 m; 5 m; --;1,
1.2 tỷ; ĐT769, Xã Lộ 25, Huyện Thống Nhất, Đồng Nai; 100 m²; 5 m; 20 m; --;1,
1.04 tỷ; DT769, Xã Lộ 25, Huyện Thống Nhất, Đồng Nai; 115 m²; 5 m; 23 m; --;1,
1.15 tỷ; Xã Lộ 25, Huyện Thống Nhất, Đồng Nai; 115 m²; 25 m; 5 m; --;1,,
1 tỷ; Tl769, Xã Lộ 25, Huyện Thống Nhất, Đồng Nai; 100 m²; 20 m; 5 m; --;1,
2.55 tỷ; Ngô Chí Quốc, Phường Bình Chiểu, TP. Thủ Đức, TP. Hồ Chí Minh; 85 m²; 17 m; 5 m; --;1,
1.2 tỷ; Đường 769, Xã Lộ 25, Huyện Thống Nhất, Đồng Nai; 120 m²; 20 m; 6 m; --;1,
800 triệu; Đường mòn HCM, Xã Quảng Nhân, Huyện Quảng Xương, Thanh Hóa; 180 m²; 6 m; 30 m; Đ.Bắc;1,
1.2 tỷ; Đường ĐT 769, Xã Bình Sơn, Huyện Long Thành, Đồng Nai; 120 m²; 20 m; 6 m; --;1,
1.3 tỷ; Xã Nhuận Đức, Huyện Củ Chi, TP. Hồ Chí Minh; 566 m²; --; --; --;1,,
350 triệu; Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 250 m²; --; --; --;1,,
810 triệu; Đường Quốc lộ 14, Xã Nha Bích, Thị xã Chơn Thành, Bình Phước; 1,000 m²; 37 m; 27 m; --;1
1.43 tỷ; Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; 5 m; --;0,,
3.99 tỷ; Đường Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, TP. Đà Nẵng; 95 m²; 19 m; 5 m; T.Nam;1,
3.99 tỷ; Đường Nguyễn Sinh Sắc, Phường Hòa Minh, Quận Liên Chiểu, TP. Đà Nẵng; 95 m²; 19 m; 5 m; T.Nam;1,
780 triệu; Đường ĐT 826, Xã Tân Trạch, Huyện Cần Đước, Long An; 85 m²; --; --; --;0,
800 triệu; Xã Hố Nai 3, Huyện Trảng Bom, Đồng Nai; 1,000 m²; 40 m; 25 m; --;1,
1.48 tỷ; Thị trấn Lộc Thắng, Huyện Bảo Lâm, Lâm Đồng; 500 m²; 10 m; 50 m; --;1,,
470 triệu; Hương lộ 80, Xã Vĩnh Lộc B, Huyện Bình Chánh, TP. Hồ Chí Minh; 75 m²; 15 m; 5 m; --;1,
600 triệu; Đồng Văn Dẫn, Thị trấn Thạnh Phú, Huyện Thạnh Phú, Bến Tre; 120 m²; 24 m; 5 m; --;1,
689 triệu; Đường Đại Lộ Bình Dương, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 120 m²; 24 m; 5 m; Đông;1,
899 triệu; Đường Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 132 m²; --; --; --;0,
6.63 tỷ; Đường Tân Thành Tân Thành, Dương Kinh, Hải Phòng; 603 m²; 27 m; 22 m; --;0,,
682 triệu; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 2,727 m²; --; --; Đông;0,
720 triệu; Đường ĐT 741, Xã Phú Riềng, Huyện Phú Riềng, Bình Phước; 244 m²; 36 m; 5.67 m; --;0,
375 triệu; Đường Quốc Lộ 13, Phường Minh Thành, Thị xã Chơn Thành, Bình Phước; 805 m²; 60 m; 13.5 m; Đ.Nam;1,
1.34 tỷ; Xã Hồng Liêm, Huyện Hàm Thuận Bắc, Bình Thuận; 5,458 m²; --; --; Đông;1,
1.9 tỷ; Quốc lộ 1A, Xã Thanh Trạch, Huyện Bố Trạch, Quảng Bình; 200 m²; 20 m; 10.99 m; T.Bắc;1,
1.23 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,459.30 m²; --; --; Đông;1,
680 triệu; Đường Trần Hưng Đạo, Phường Tiến Thành, TP. Đồng Xoài, Bình Phước; 150 m²; --; --; --;0,
1.06 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,459 m²; --; --; --;1,
1.18 tỷ; Xã Sông Lũy, Huyện Bắc Bình, Bình Thuận; 8,459 m²; --; --; Đông;1,
3.5 tỷ; Đường Tam Đa , Phường Trường Thạnh, TP. Thủ Đức, TP. Hồ Chí Minh; 72 m²; 18 m; 4 m; --;1,
2.05 tỷ; Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận; 12,000 m²; --; --; --;0,
1.17 tỷ; Xã Hòa Phú, Huyện Tuy Phong, Bình Thuận; 78 m²; --; --; T.Bắc;0,,
1.9 tỷ; Đường Tràm Lạc Mỹ Hạnh Bắc, Đức hòa,Long An; 112 m²; 23 m; 5 m; --;0,,
350 triệu; Tuyến Ống Nước Sạch, Xã Đông Thạnh, Huyện Hóc Môn, TP. Hồ Chí Minh; 10,000 m²; 80 m; 125 m; --;1
1.7 tỷ; Đường Tỉnh Lộ 131, Quang Tiến, Sóc Sơn, HN; 70 m²; 14 m; 5 m; --;0,
3.5 tỷ; Phường Ngọc Xuyên, Quận Đồ Sơn, TP. Hải Phòng; 91 m²; --; --; --;0,,
920 triệu; Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận; 3,913 m²; --; --; --;1,
2.6 tỷ; Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận; 1,040 m²; --; --; --;1,
1.6 tỷ; Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận; 14,579 m²; --; --; --;1,
1.77 tỷ; Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận; 17.74 m²; --; --; --;1,,
515 triệu; Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận; 3,219 m²; --; --; --;1,
2.08 tỷ; Xã Bình Tân, Huyện Bắc Bình, Bình Thuận; 6,315 m²; --; --; --;1,
515 triệu; Xã Hồng Thái, Huyện Bắc Bình, Bình Thuận; 3,219 m²; --; --; --;1,
1.2 tỷ; Xã Hòa Thắng, Huyện Bắc Bình, Bình Thuận; 5,197 m²; --; --; --;1,
539 triệu; Đường 14, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương; 70 m²; 14 m; 5 m; --;1,
1.08 tỷ; Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam; 108 m²; 18 m; 6 m; Đ.Nam;1,
950 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 5 m; --;1,,
950 triệu; Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 100 m²; 20 m; 4.98 m; --;1,,
950 triệu; Phường Tân Phước Khánh, Thị xã Tân Uyên, Bình Dương; 100 m²; 20 m; 5 m; Nam;1,,
1 tỷ; Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương; 65 m²; --; --; --;0,,
980 triệu; Đường 13, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương; 105 m²; 21 m; 5 m; --;0,
1.6 tỷ; Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương; 150 m²; 30 m; 5 m; --;0,,
3.5 tỷ; Đường Huỳnh Văn Nghệ, Phường Bửu Long, TP. Biên Hòa, Đồng Nai; 132 m²; --; 4.5 m; Nam;0,
3.6 tỷ; Đường Võ Thị Sáu, Quyết Thắng, Biên Hòa, Đồng Nai; 70 m²; 14 m; 5 m; --;0,
440 triệu; Đường ĐT 763, Suối Nho, Huyện Định Quán, Đồng Nai; 1,000 m²; 100 m; 10 m; --;0
825 triệu; Đường 22B, Xã Trường Hòa, Huyện Hòa Thành, Tây Ninh; 145 m²; --; --; --;0,
600 triệu; Hồ Thị Hương, Xã Bàu Trâm, TP. Long Khánh, Đồng Nai; 120 m²; 20 m; 6 m; --;1,
450 triệu; Đường 265, Xã Đông Sơn, Huyện Yên Thế, Bắc Giang; 500 m²; 14 m; 8.5 m; --;0,
9 tỷ; Đường Đặng Đại Độ Hiệp Hòa, Biên Hòa, Đồng Nai; 210 m²; 21 m; 10 m; --;0,,
2.52 tỷ; Đường Phúc Lợi, Phường Phúc Lợi, Quận Long Biên, TP. Hà Nội; 39 m²; --; 4.6 m; --;1,
2.4 tỷ; Đường Đản Dị Uy Nỗ, Đông Anh, Hà Nội; 41 m²; --; 4 m; --;0,,
4.2 tỷ; Đường Hải Thành Hải Thành, Dương Kinh, Hải Phòng; 120 m²; 20 m; 6 m; --;0,,
450 triệu; Đường 10, Tân Viên, An Lão, TP. Hải Phòng; 68 m²; 12 m; 6 m; --;0,
8 tỷ; Xã Tam Thanh, TP. Tam Kỳ, Quảng Nam; 293 m²; 33 m; 13 m; Đ.Nam;1,,
1.7 tỷ; Đường DX 614, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương; 100 m²; 20 m; 5 m; T.Nam;1,
500 triệu; TL623B, Xã Điện Phong, Thị xã Điện Bàn, Quảng Nam; 110 m²; 20 m; 5 m; Bắc;1,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; 6 m; 23 m; --;0,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; 6 m; 23 m; --;0,,
900 triệu; Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 138 m²; 22 m; 6 m; --;0,,
1.95 tỷ; Đường Đinh Đức Thiện, Xã Bình Chánh, Huyện Bình Chánh, TP. Hồ Chí Minh; 150 m²; 15 m; 10 m; --;1,
480 triệu; Xã Bến Củi, Huyện Dương Minh Châu, Tây Ninh; 140 m²; 28 m; 5 m; --;0,,
380 triệu; Đường 8, Xã Khánh Hiệp, Huyện Khánh Vĩnh, Khánh Hòa; 1,000 m²; 50 m; 20 m; Đông;1
2.91 tỷ; Mỹ Lộc, Xã Thanh Lâm, Huyện Mê Linh, TP. Hà Nội; 153 m²; 16 m; 10 m; Đông;0,
2 tỷ; Xã Y Tý, Huyện Bát Xát, Lào Cai; 999 m²; --; --; --;0,,
580 triệu; Xã Thạnh Đức, Huyện Gò Dầu, Tây Ninh; 125 m²; 25 m; 5 m; --;0,,
949 triệu; Đường Nguyễn Tất Thành, Thị Trấn Ái Nghĩa, Huyện Đại Lộc, Quảng Nam; 149 m²; --; 7 m; --;1,
900 triệu; Đường Hùng Vương, Xã Phú Lộc, Huyện Krông Năng, Đắk Lắk; 140 m²; 22 m; 6 m; Đ.Nam;1,
1.33 tỷ; Xã Hưng Lộc, Huyện Thống Nhất, Đồng Nai; 179 m²; 5 m; 20 m; Đông;0,,
3.88 tỷ; Đường Huỳnh Tấn Phát, Phú Xuân, Nhà Bè, HCM; 83 m²; 16.7 m; 5 m; --;0,
480 triệu; Liên Ấp 2-6, Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 60 m²; 15 m; 4 m; --;1,
2 tỷ; Thị trấn NT Mộc Châu, Huyện Mộc Châu, Sơn La; 670 m²; --; --; --;0,,
1.6 tỷ; Đường Quốc Lộ 13, Phường Vĩnh Phú, TP Thuận An, Bình Dương; 100 m²; 20 m; 5 m; --;0,
935 triệu; Đường Âu Cơ, Phường 1, TP Bảo Lộc, Lâm Đồng; 165 m²; 33 m; 5 m; --;0,
6.7 tỷ; Đường Tân Thành, Phường Tân Thành, Quận Dương Kinh, TP Hải Phòng; 600 m²; 27 m; 22 m; --;0,
350 triệu; Xã Bình Đông, Thị xã Gò Công, Tiền Giang; 100 m²; 20 m; 5 m; --;1,,
550 triệu; Đường Quốc Lộ 10, Xã Quang Hưng, Huyện An Lão, TP. Hải Phòng; 65 m²; 15 m; 5 m; --;1,
1.49 tỷ; Đường Đức Hòa Đông, Xã Đức Hòa Đông, Huyện Đức Hòa, Long An; 90 m²; 5 m; 18 m; --;1,
1.2 tỷ; Xã Phước Lợi, Huyện Bến Lức, Long An; 80 m²; 16 m; 5 m; --;1,,
963 triệu; Quốc lộ 1A, Xã Bình An, Huyện Thăng Bình, Quảng Nam; 108 m²; 18 m; 6 m; Đ.Nam;1,
1.6 tỷ; Phường Ngọc Xuyên, Quận Đồ Sơn, TP. Hải Phòng; 40 m²; --; --; --;0,,
400 triệu; Đường 18/9, Xã Phước Hoà, Huyện Phú Giáo, Bình Dương; 2,020 m²; --; --; --;0
576 triệu; Đường Quốc Lộ 50, Xã Tân Lân, Huyện Cần Đước, Long An; 80 m²; --; --; --;0,
550 triệu; Xã Tân Hưng, Huyện Đồng Phú, Bình Phước; 1,000 m²; --; --; --;1,
1.2 tỷ; QL1A, Thị trấn Hà Lam, Huyện Thăng Bình, Quảng Nam; 120 m²; 20 m; 6 m; Đ.Nam;1,
382 triệu; DT 788, Xã Phước Vinh, Huyện Châu Thành, Tây Ninh; 150 m²; 34 m; 45 m; Nam;1,
3.05 tỷ; Xã Ngọc Hồi, Huyện Thanh Trì, TP. Hà Nội; 43 m²; --; 4.6 m; --;0,,
700 triệu; Đường Quốc Lộ 50, Xã Phước Đông, Huyện Cần Đước, Long An; 200 m²; 20 m; 10 m; --;1,
1.65 tỷ; Xã Phú Hòa Đông, Huyện Củ Chi, TP. Hồ Chí Minh; 99 m²; --; --; --;1,,
500 triệu; Xã Vĩnh Lộc A, Huyện Bình Chánh, TP. Hồ Chí Minh; 95 m²; 18 m; 5 m; --;1,,
1.35 tỷ; Đường Quốc lộ 1A, Xã Phước Thể, Huyện Tuy Phong, Bình Thuận; 105 m²; 5.5 m; 19 m; Bắc;1,
7 tỷ; Đường Phong Châu, Xã Vĩnh Thái, TP. Nha Trang, Khánh Hòa; 100 m²; 5 m; 20 m; Đ.Bắc;0,
480 triệu; Đường ĐT 741B, Thị trấn Lai Uyên, Huyện Bàu Bàng, Bình Dương; 450 m²; 45 m; 10 m; --;1,
