,Date,Town,District,Province,Spare,Length,Width,Amenities,Direction,Price
532,9/21/2022,Phường Hiệp Ninh,TP. Tây Ninh,Tây Ninh,114.0,5.0,22.8,1,Unknow,0.42
533,9/21/2022,Xã Ea Drông,Thị Xã Buôn Hồ,Đắk Lắk,250.0,50.0,5.0,1,Unknow,0.405
534,9/21/2022,Xã Lộc Phú,Huyện Bảo Lâm,Lâm Đồng,180.0,18.0,10.0,1,Unknow,1.6
535,9/21/2022,Phường Vạn Sơn,Quận Đồ Sơn,TP. Hải Phòng,76.0,0.0,0.0,0,Unknow,1.3
536,9/21/2022,Phường Ngọc Hải,Quận Đồ Sơn,TP. Hải Phòng,68.0,4.7,0.0,0,Unknow,1.25
537,9/21/2022,Xã Long Bình,Huyện Phú Riềng,Bình Phước,1100.0,110.0,10.0,1,Đ.Nam,0.556
538,9/21/2022,Xã Tân Lợi,Huyện Đồng Phú,Bình Phước,1000.0,10.0,1000.0,1,Unknow,0.45
539,9/21/2022,Phường Hải Thành,Quận Dương Kinh,TP. Hải Phòng,77.0,0.0,4.5,1,Unknow,1.97
540,9/21/2022,Phường 5,TP. Đà Lạt,Lâm Đồng,4500.0,0.0,0.0,1,Nam,30.0
541,9/21/2022,Xã Lộc Thành,Huyện Bảo Lâm,Lâm Đồng,500.0,10.0,50.0,1,Unknow,0.5
542,9/21/2022,Xã Trạm Hành,TP. Đà Lạt,Lâm Đồng,6100.0,0.0,0.0,1,T.Nam,6.1
543,9/21/2022,Phường Phú Mỹ,TP. Thủ Dầu Một,Bình Dương,250.0,50.0,5.0,1,Unknow,2.0
544,9/21/2022,Phường 7,TP. Đà Lạt,Lâm Đồng,100.0,20.0,5.0,1,Đ.Nam,1.4
545,9/21/2022,Phường 7,TP. Đà Lạt,Lâm Đồng,292.0,0.0,0.0,1,T.Nam,20.15
546,9/21/2022,Xã Trạm Hành,TP. Đà Lạt,Lâm Đồng,3400.0,0.0,0.0,1,Tây,3.6
547,9/21/2022,Phường 4,TP. Đà Lạt,Lâm Đồng,230.0,0.0,0.0,1,Tây,17.5
548,9/21/2022,Phường 5,TP. Đà Lạt,Lâm Đồng,211.0,13.0,0.0,1,T.Nam,7.5
549,9/21/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,20.0,5.5,1,Đ.Nam,1.9
550,9/21/2022,Xã Ea Drông,Thị Xã Buôn Hồ,Đắk Lắk,250.0,50.0,5.0,1,Unknow,0.4
551,9/21/2022,Xã Tân Hưng,Huyện Hớn Quản,Bình Phước,2000.0,100.0,20.0,1,Unknow,0.94
552,9/21/2022,Phường Minh Hưng,Thị xã Chơn Thành,Bình Phước,500.0,50.0,10.0,1,Unknow,0.45
553,9/21/2022,Hoàng Sa,Thuận An,Thừa Thiên Huế,226.0,22.0,10.0,1,Đ.Bắc,4.2
554,9/21/2022,Xã Hàm Trí,Huyện Hàm Thuận Bắc,Bình Thuận,5500.0,0.0,0.0,0,Unknow,2.2
555,9/21/2022,Xã Bàu Đồn,Huyện Gò Dầu,Tây Ninh,1000.0,30.0,10.0,1,Đông,0.8
556,9/21/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,30.0,10.0,1,Đông,1.6
557,9/21/2022,Xã Cư Bao,Thị Xã Buôn Hồ,Đắk Lắk,187.0,37.0,5.0,1,Unknow,0.48
558,9/21/2022,Phường Bình Chiểu,TP. Thủ Đức,TP. Hồ Chí Minh,74.0,0.0,0.0,1,Unknow,3.3
559,9/21/2022,Phường Bình Chiểu,TP. Thủ Đức,TP. Hồ Chí Minh,64.0,0.0,0.0,1,Unknow,3.2
560,9/21/2022,Phường Xuân An,TP. Phan Thiết,Bình Thuận,100.0,20.0,5.0,1,Đ.Nam,4.2
561,9/21/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,20.0,5.5,1,Đ.Nam,1.9
562,9/21/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,0.0,0.0,1,Unknow,1.9
563,9/21/2022,Xã Ea Drông,Thị Xã Buôn Hồ,Đắk Lắk,256.0,32.0,8.0,1,Unknow,0.349
564,9/21/2022,Phường Lộc Tiến,TP. Bảo Lộc,Lâm Đồng,150.0,30.0,5.0,1,Unknow,0.8
565,9/21/2022,Phường Thảo Điền,TP. Thủ Đức,TP. Hồ Chí Minh,746.0,0.0,0.0,0,Unknow,200.0
566,9/21/2022,Xã Lộc Ngãi,Huyện Bảo Lâm,Lâm Đồng,160.0,16.0,10.0,1,Unknow,0.7
567,9/21/2022,Xã Lộc An,Huyện Bảo Lâm,Lâm Đồng,203.0,20.0,10.0,1,Unknow,0.95
568,9/21/2022,Phường Trung Liệt,Quận Đống Đa,TP. Hà Nội,80.0,0.0,0.0,0,Unknow,12.5
569,9/21/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,0.0,0.0,0,Unknow,3.2
570,9/21/2022,Phường Lộc Phát,TP. Bảo Lộc,Lâm Đồng,200.0,10.0,20.0,1,Unknow,4.0
571,9/21/2022,Xã Khánh Bình,Huyện Khánh Vĩnh,Khánh Hòa,358.0,49.0,7.0,1,Đ.Bắc,0.4
572,9/21/2022,Phường Tân Thới Hòa,Quận Tân Phú,TP. Hồ Chí Minh,88.0,0.0,0.0,1,Unknow,6.1
573,9/21/2022,Phường Vạn Hương,Quận Đồ Sơn,TP. Hải Phòng,335.0,26.0,13.0,1,Unknow,5.52
574,9/21/2022,Phường Tân Lập,TP. Buôn Ma Thuột,Đắk Lắk,48.0,11.99,4.0,1,T.Bắc,0.96
575,9/21/2022,Xã Nha Bích,Thị xã Chơn Thành,Bình Phước,270.0,50.0,5.5,1,Unknow,0.85
576,9/20/2022,Xã Pơng Drang,Huyện Krông Búk,Đắk Lắk,250.0,50.0,5.0,1,Unknow,0.405
577,9/20/2022,Phường Hòa Khánh Bắc,Quận Liên Chiểu,TP. Đà Nẵng,161.0,32.0,4.99,1,Unknow,2.75
578,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,20.0,5.5,1,Đ.Nam,1.9
579,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,93.0,0.0,0.0,0,Unknow,1.7
580,9/20/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,10.0,30.0,1,Đông,1.6
581,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,20.0,5.5,1,Đ.Nam,1.9
582,9/20/2022,Xã Tân Đông,Huyện Tân Châu,Tây Ninh,187.0,0.0,0.0,0,Unknow,0.24
583,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,0.0,0.0,0,Unknow,1.9
584,9/20/2022,Phường Bửu Long,TP. Biên Hòa,Đồng Nai,493.0,0.0,22.0,0,Unknow,19.0
585,9/20/2022,Xã Lộc Quảng,Huyện Bảo Lâm,Lâm Đồng,280.0,28.0,10.0,1,Unknow,1.4
586,9/20/2022,Xã Nha Bích,Thị xã Chơn Thành,Bình Phước,233.0,48.0,5.0,1,Unknow,0.8
587,9/20/2022,Xã Bàu Đồn,Huyện Gò Dầu,Tây Ninh,1000.0,30.0,10.0,1,Đông,1.6
588,9/20/2022,Phường Lái Thiêu,TP. Thuận An,Bình Dương,2000.0,100.0,20.0,1,Unknow,0.45
589,9/20/2022,Xã Long Chữ,Huyện Bến Cầu,Tây Ninh,225.0,5.0,45.0,1,Unknow,1.0
590,9/20/2022,Xã Xuân Đông,Huyện Cẩm Mỹ,Đồng Nai,1500.0,0.0,0.0,0,Unknow,1.65
591,9/20/2022,Phường Kim Long,TP. Huế,Thừa Thiên Huế,176.0,0.0,0.0,0,Unknow,4.2
592,9/20/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,30.0,10.0,1,Đông,1.6
593,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,0.0,0.0,1,Unknow,1.9
594,9/20/2022,Xã Nhơn Thạnh Trung,TP. Tân An,Long An,187.0,37.0,5.0,1,Unknow,0.48
595,9/20/2022,Phường Tân Hiệp,TP. Biên Hòa,Đồng Nai,6516.0,0.0,54.0,0,Unknow,75.0
596,9/20/2022,Phường Phước Tân,TP. Biên Hòa,Đồng Nai,200.0,8.0,25.0,1,Đông,6.0
597,9/20/2022,Xã Tiên Thuận,Huyện Bến Cầu,Tây Ninh,200.0,10.0,20.0,1,Unknow,0.25
598,9/20/2022,Xã Đất Cuốc,Huyện Bắc Tân Uyên,Bình Dương,1100.0,0.0,0.0,0,Unknow,0.39
599,9/20/2022,Xã Sơn Mỹ,Huyện Hàm Tân,Bình Thuận,4700.0,47.0,100.0,1,Nam,16.9
600,9/20/2022,Phường Mỹ Phước,Thị xã Bến Cát,Bình Dương,250.0,0.0,0.0,1,Unknow,0.35
601,9/20/2022,Xã Cẩm Giang,Huyện Gò Dầu,Tây Ninh,320.0,10.0,31.99,1,Unknow,0.46
602,9/20/2022,Phường Mỹ Phước,Thị xã Bến Cát,Bình Dương,470.0,47.0,10.0,1,Unknow,0.4
603,9/20/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,0.0,0.0,0,Unknow,3.2
604,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,20.0,5.5,1,Đ.Nam,1.9
605,9/20/2022,Xã Đạm Bri,TP. Bảo Lộc,Lâm Đồng,250.0,0.0,0.0,0,Unknow,0.88
606,9/20/2022,Thị trấn Thạnh Phú,Huyện Thạnh Phú,Bến Tre,120.0,24.0,5.0,1,Unknow,1.65
607,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,93.0,0.0,0.0,0,Unknow,1.7
608,9/20/2022,Phường Hòa Hiệp Nam,Quận Liên Chiểu,TP. Đà Nẵng,90.0,5.0,18.0,0,Unknow,1.0
609,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,0.0,0.0,0,Unknow,1.9
610,9/20/2022,Xã Cư Bao,Thị Xã Buôn Hồ,Đắk Lắk,124.5,24.9,5.0,1,Unknow,0.47
611,9/20/2022,Xã Pơng Drang,Huyện Krông Búk,Đắk Lắk,250.0,50.0,5.0,1,Unknow,0.405
612,9/20/2022,Thị trấn Thạnh Phú,Huyện Thạnh Phú,Bến Tre,120.0,24.0,5.0,1,Unknow,1.8
613,9/20/2022,Phường Uyên Hưng,Thị xã Tân Uyên,Bình Dương,65.0,0.0,0.0,0,Unknow,1.0
614,9/20/2022,Phường Hóa An,TP. Biên Hòa,Đồng Nai,126.0,7.0,0.0,0,Unknow,2.85
615,9/20/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1040.0,0.0,0.0,0,Unknow,2.8
616,9/20/2022,Xã Bình Lợi,Huyện Vĩnh Cửu,Đồng Nai,4000.0,0.0,35.0,0,Unknow,19.0
617,9/20/2022,Xã Hảo Đước,Huyện Châu Thành,Tây Ninh,150.0,5.0,30.0,1,Unknow,0.395
618,9/20/2022,Xã Tiên Thuận,Huyện Bến Cầu,Tây Ninh,200.0,10.0,20.0,1,Unknow,0.25
619,9/20/2022,Xã Cư Bao,Thị Xã Buôn Hồ,Đắk Lắk,114.0,23.0,5.0,1,Unknow,0.42
620,9/20/2022,Phường Uyên Hưng,Thị xã Tân Uyên,Bình Dương,80.0,0.0,0.0,0,Unknow,0.85
621,9/20/2022,Phường Khương Mai,Quận Thanh Xuân,TP. Hà Nội,450.0,0.0,0.0,0,Unknow,27.5
622,9/20/2022,Phường Kỳ Phương,Thị xã Kỳ Anh,Hà Tĩnh,179.5,30.0,6.0,1,Đ.Nam,0.9786
623,9/20/2022,Phường Quang Vinh,TP. Biên Hòa,Đồng Nai,80.0,0.0,4.2,0,Unknow,4.2
624,9/20/2022,Xã Pơng Drang,Huyện Krông Búk,Đắk Lắk,250.0,50.0,5.0,1,Unknow,0.45
625,9/20/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,0.0,0.0,1,Unknow,1.9
626,9/20/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,30.0,10.0,1,Đông,1.6
627,9/20/2022,Xã Cư Bao,Thị Xã Buôn Hồ,Đắk Lắk,187.0,37.38,5.0,1,Unknow,0.24
628,9/20/2022,Phường Bửu Long,TP. Biên Hòa,Đồng Nai,79.0,0.0,4.2,0,Unknow,3.5
629,9/20/2022,Thị trấn Trâu Quỳ,Huyện Gia Lâm,TP. Hà Nội,30.0,0.0,0.0,0,Unknow,1.5
630,9/20/2022,Xã Kim Hoa,Huyện Mê Linh,TP. Hà Nội,120.0,20.0,6.0,1,Unknow,4.5
631,9/20/2022,Phường Phước Tân,TP. Biên Hòa,Đồng Nai,200.0,25.0,8.0,1,Đông,6.0
632,9/20/2022,Phường Ô Chợ Dừa,Quận Đống Đa,TP. Hà Nội,150.0,0.0,0.0,0,Unknow,49.0
633,9/20/2022,Xã Tiên Thuận,Huyện Bến Cầu,Tây Ninh,200.0,10.0,20.0,1,Unknow,0.25
634,9/20/2022,Thị trấn Trâu Quỳ,Huyện Gia Lâm,TP. Hà Nội,54.0,0.0,0.0,0,Unknow,2.85
635,9/19/2022,Phường Lộc Phát,TP. Bảo Lộc,Lâm Đồng,190.0,19.0,10.0,1,Unknow,1.2
636,9/19/2022,Phường Minh Thành,Thị xã Chơn Thành,Bình Phước,200.0,40.0,5.0,1,Unknow,0.4
637,9/19/2022,Xã Sơn Mỹ,Huyện Hàm Tân,Bình Thuận,1150.0,45.0,25.0,1,Đông,0.45
638,9/19/2022,Xã An Viễn,Huyện Trảng Bom,Đồng Nai,110.0,20.0,5.5,1,Đ.Nam,1.9
639,9/19/2022,Xã Lộc Khánh,Huyện Lộc Ninh,Bình Phước,250.0,5.0,50.0,1,Đ.Nam,0.679
640,9/19/2022,Xã Tiên Thuận,Huyện Bến Cầu,Tây Ninh,200.0,10.0,20.0,1,Unknow,0.25
641,9/19/2022,Phường Uyên Hưng,Thị xã Tân Uyên,Bình Dương,80.0,0.0,0.0,0,Unknow,1.0
642,9/19/2022,Phường Tân Hạnh,TP. Biên Hòa,Đồng Nai,3774.0,0.0,9.5,0,Unknow,17.0
643,9/19/2022,Phường Lộc Sơn,TP. Bảo Lộc,Lâm Đồng,270.0,27.0,10.0,1,Đ.Nam,0.78
644,9/19/2022,Phường Chánh Phú Hòa,Thị xã Bến Cát,Bình Dương,197.0,20.0,10.0,1,Đông,0.97
645,9/19/2022,Xã Phù Khê,Thị xã Từ Sơn,Bắc Ninh,66.6,0.0,0.0,0,Unknow,0.1295
646,9/19/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,3200.0,0.0,0.0,0,Unknow,7.32
647,9/19/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,30.0,10.0,1,Unknow,1.6
648,9/19/2022,Phường Hiệp Hòa,TP. Biên Hòa,Đồng Nai,89.0,0.0,5.0,0,Unknow,4.0
649,9/19/2022,Xã Cư Bao,Thị Xã Buôn Hồ,Đắk Lắk,187.0,37.38,5.0,1,Unknow,0.48
650,9/19/2022,Phường Hóa An,TP. Biên Hòa,Đồng Nai,65.0,0.0,4.0,0,Unknow,2.2
651,9/19/2022,Xã Đức Lập Thượng,Huyện Đức Hòa,Long An,140.0,20.0,7.0,1,Unknow,1.6
652,9/19/2022,Thị trấn Thủ Thừa,Huyện Thủ Thừa,Long An,100.0,20.0,5.0,1,Unknow,1.4
653,9/19/2022,Phường Tân Bình,TP. Dĩ An,Bình Dương,85.0,0.0,0.0,0,Unknow,1.3
654,9/19/2022,Phường Hiệp Hòa,TP. Biên Hòa,Đồng Nai,80.0,0.0,4.0,0,Unknow,4.2
655,9/19/2022,Phường Lộc Tiến,TP. Bảo Lộc,Lâm Đồng,280.0,28.0,10.0,1,Unknow,0.78
656,9/19/2022,Phường Thuận Lộc,TP. Huế,Thừa Thiên Huế,127.0,15.0,15.0,1,T.Bắc,2.68
657,9/19/2022,Xã Đạm Bri,TP. Bảo Lộc,Lâm Đồng,150.0,30.0,5.0,1,Unknow,0.48
658,9/19/2022,Xã Bàu Đồn,Huyện Gò Dầu,Tây Ninh,1722.0,50.0,29.99,1,Unknow,0.695
659,9/19/2022,Xã Long Chữ,Huyện Bến Cầu,Tây Ninh,225.0,5.0,45.0,1,Unknow,0.92
660,9/19/2022,Phường Tân An,TP. Thủ Dầu Một,Bình Dương,90.0,5.0,18.0,1,Unknow,1.5
661,9/19/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,30.0,10.0,1,Đông,1.6
662,9/19/2022,Phường 7,TP. Đà Lạt,Lâm Đồng,200.0,11.0,16.99,0,T.Nam,4.2
663,9/19/2022,Phường 8,TP. Đà Lạt,Lâm Đồng,352.0,12.5,28.0,1,Nam,14.08
664,9/19/2022,Xã Tiên Thuận,Huyện Bến Cầu,Tây Ninh,2000.0,40.0,50.0,1,Unknow,0.15
665,9/19/2022,Xã Tả Thanh Oai,Huyện Thanh Trì,TP. Hà Nội,45.0,0.0,0.0,0,Unknow,2.8
666,9/18/2022,Xã Bình Chánh,Huyện Bình Chánh,TP. Hồ Chí Minh,80.0,16.0,5.0,1,Unknow,1.5
667,9/18/2022,Xã Cư Bao,Thị Xã Buôn Hồ,Đắk Lắk,187.0,37.38,5.0,1,Unknow,0.48
668,9/18/2022,Xã Hòa Khánh,TP. Buôn Ma Thuột,Đắk Lắk,240.0,6.0,40.0,1,Bắc,0.9
669,9/18/2022,Xã Đông Thanh,Huyện Lâm Hà,Lâm Đồng,3560.0,70.0,50.0,1,Unknow,5.7
670,9/18/2022,Phường Hòa Xuân,Quận Cẩm Lệ,Đà Nẵng,100.0,5.0,20.0,1,Đ.Nam,4.35
671,9/18/2022,Xã Nhã Nam,Huyện Tân Yên,Bắc Giang,90.0,18.0,6.0,0,Unknow,1.92
672,9/18/2022,Xã Điện Hồng,Thị xã Điện Bàn,Quảng Nam,114.0,5.0,22.0,0,Unknow,0.5
673,9/18/2022,Xã Xuân Tây,Huyện Cẩm Mỹ,Đồng Nai,1000.0,0.0,0.0,0,Unknow,1.7
674,9/18/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,150.0,30.0,5.0,1,Unknow,2.06
675,9/18/2022,Xã Mỹ Hà,Huyện Lạng Giang,Bắc Giang,232.0,20.0,11.0,1,Đông,0.6
676,9/18/2022,Thị trấn Gia Khánh,Huyện Bình Xuyên,Vĩnh Phúc,100.0,20.0,5.0,1,Đ.Nam,1.4
677,9/18/2022,Xã Xuân Thiện,Huyện Thống Nhất,Đồng Nai,1000.0,50.0,21.0,1,Tây,1.7
678,9/18/2022,Xã Ka Đô,Huyện Đơn Dương,Lâm Đồng,188.0,29.0,6.5,0,Nam,0.75
679,9/18/2022,Xã Minh Thành,Huyện Chơn Thành,Bình Phước,150.0,30.0,5.0,1,Đ.Nam,1.2
680,9/18/2022,Xã Đông Yên,Huyện Đông Sơn,Thanh Hóa,100.0,0.0,0.0,0,Unknow,1.24
681,9/18/2022,Phường Lê Lợi,Tp. Vinh,Nghệ An,153.3,21.68,7.27,1,Đ.Nam,6.0
682,9/18/2022,Xã Đạm Bri,Tp. Bảo Lộc,Lâm Đồng,239.0,23.9,10.0,1,Unknow,1.65
683,9/18/2022,Xã Nghi Phú,Tp. Vinh,Nghệ An,192.2,24.3,7.5,1,T.Bắc,8.6
684,9/18/2022,Xã Xuân Tây,Huyện Cẩm Mỹ,Đồng Nai,1280.0,64.0,20.0,1,Unknow,4.4
685,9/18/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,300.0,30.0,5.0,1,Unknow,2.07
686,9/17/2022,Xã Nhựt Chánh,Huyện Bến Lức,Long An,115.0,23.0,5.0,0,Unknow,1.25
687,9/17/2022,Xã Chà Là,Huyện Dương Minh Châu,Tây Ninh,150.0,12.0,30.0,0,Unknow,0.62
688,9/17/2022,Xã Lộc An,Huyện Bảo Lâm,Lâm Đồng,200.0,0.0,0.0,1,Unknow,0.7
689,9/17/2022,Phường Tân Định,Thị xã Bến Cát,Bình Dương,103.0,20.6,5.0,0,T.Nam,0.81
690,9/17/2022,Thị trấn Phố Mới,Huyện Quế Võ,Bắc Ninh,60.0,4.0,0.0,0,Unknow,2.08
691,9/17/2022,Xã Phật Tích,Huyện Tiên Du,Bắc Ninh,180.0,12.0,0.0,0,Unknow,4.23
692,9/17/2022,Phường Trường Thọ,Tp. Thủ Đức,TP. Hồ Chí Minh,88.6,19.26,4.6,0,T.Nam,7.09
693,9/17/2022,Xã Lộc Thanh,Tp. Bảo Lộc,Lâm Đồng,200.0,0.0,0.0,0,Unknow,1.6
694,9/17/2022,Xã Y Tý,Huyện Bát Xát,Lào Cai,730.0,0.0,0.0,0,Unknow,1.11
695,9/17/2022,Xã Thạnh Phú,Huyện Vĩnh Cửu,Đồng Nai,224.0,0.0,8.0,0,Unknow,2.0
696,9/17/2022,Xã Hựu Thạnh,Huyện Đức Hòa,Long An,90.0,18.0,5.0,1,Unknow,1.8
697,9/17/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,150.0,30.0,5.0,0,Unknow,1.78
698,9/17/2022,Xã Tân Quan,Huyện Hớn Quản,Bình Phước,210.0,43.0,55.0,1,Unknow,0.7
699,9/17/2022,Xã Minh Tân,Huyện Vị Xuyên,Hà Giang,212.0,0.0,0.0,0,Unknow,0.9
700,9/17/2022,Xã Hòa Khánh,Huyện Cái Bè,Tiền Giang,120.0,20.0,6.0,1,Đông,0.7
701,9/17/2022,Xã Mỹ Hạnh Bắc,Huyện Đức Hòa,Long An,90.0,5.0,18.0,1,Unknow,0.89
702,9/17/2022,Xã Nhơn Đức,Huyện Nhà Bè,TP. Hồ Chí Minh,98.0,0.0,0.0,0,Unknow,3.1
703,9/17/2022,phường An Hòa,Biên Hòa,Đồng Nai,74.0,4.0,18.0,1,Unknow,1.67
704,9/16/2022,Xã Phước Đồng,Tp. Nha Trang,Khánh Hòa,500.0,38.0,13.0,1,Bắc,7.5
705,9/16/2022,Thị trấn Gia Khánh,Huyện Bình Xuyên,Vĩnh Phúc,1600.0,0.0,0.0,1,Unknow,4.1
706,9/16/2022,Xã Thanh Phước,Huyện Gò Dầu,Tây Ninh,389.0,38.0,10.0,1,Unknow,0.63
707,9/16/2022,Xã Nhơn Đức,Huyện Nhà Bè,TP. Hồ Chí Minh,98.0,0.0,0.0,0,Unknow,3.1
708,9/16/2022,Phường Sa Pa,Thị xã Sa Pa,Lào Cai,300.0,20.0,15.0,1,Đ.Nam,8.4
709,9/16/2022,Thị trấn Gò Dầu,Huyện Gò Dầu,Tây Ninh,150.0,30.0,5.0,1,Unknow,0.43
710,9/16/2022,Phường Lái Thiêu,Tp. Thuận An,Bình Dương,250.0,50.0,5.0,1,Unknow,0.39
711,9/16/2022,Xã Thạnh Bình,Huyện Tân Biên,Tây Ninh,220.0,44.0,5.0,1,Unknow,0.479
712,9/16/2022,Xã Lộc Ngãi,Huyện Bảo Lâm,Lâm Đồng,120.0,5.0,24.0,1,Unknow,0.8
713,9/16/2022,Xã Xuân Hiệp,Huyện Xuân Lộc,Đồng Nai,2160.0,139.0,15.5,1,Unknow,1.94
714,9/16/2022,Xã Đồng Tiến,Huyện Đồng Phú,Bình Phước,275.0,55.0,5.0,1,Unknow,0.4
715,9/16/2022,Phường Thủy Châu,Thị xã Hương Thủy,Thừa Thiên Huế,156.0,31.0,5.0,0,Tây,2.11
716,9/16/2022,Phường An Đông,Tp. Huế,Thừa Thiên Huế,273.0,22.0,12.0,1,Tây,10.65
717,9/16/2022,Xã Thuận Lợi,Huyện Đồng Phú,Bình Phước,120.0,6.0,20.0,1,T.Nam,0.85
718,9/16/2022,Phường 1,Tp. Tây Ninh,Tây Ninh,120.0,5.0,24.0,1,Unknow,0.63
719,9/16/2022,Xã Long Khánh,Huyện Bến Cầu,Tây Ninh,90.0,5.0,16.0,1,Unknow,0.3
720,9/16/2022,Xã Phước Đông,Huyện Gò Dầu,Tây Ninh,125.0,25.0,5.0,1,Unknow,0.859
721,9/16/2022,Xã Hồng Thái,Huyện Bắc Bình,Bình Thuận,12010.0,0.0,0.0,0,Unknow,2.26
722,9/16/2022,Xã Đặng Cương,Huyện An Dương,TP. Hải Phòng,700.0,0.0,14.0,1,Unknow,1.4
723,9/16/2022,Xã Bãi Sậy,Huyện Ân Thi,Hưng Yên,81.0,0.0,0.0,1,Unknow,0.87
724,9/16/2022,Xã Tân Thành,Huyện Mộc Hóa,Long An,4108.5,0.0,0.0,0,Unknow,9.96
725,9/16/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,3182.0,0.0,0.0,0,Unknow,6.8
726,9/15/2022,Xã Bình Hòa,Huyện Vĩnh Cửu,Đồng Nai,1000.0,0.0,0.0,0,Unknow,13.5
727,9/15/2022,Xã Diên Lạc,Huyện Diên Khánh,Khánh Hòa,200.0,0.0,0.0,0,Unknow,1.9
728,9/15/2022,Xã Phước Bình,Huyện Long Thành,Đồng Nai,1000.0,0.0,0.0,0,Unknow,2.0
729,9/15/2022,Phường Tân An,Tp. Buôn Ma Thuột,Đắk Lắk,100.0,5.0,20.0,1,Unknow,5.5
730,9/15/2022,Xã Phú Thượng,Huyện Phú Vang,Thừa Thiên Huế,279.0,11.0,24.0,1,Nam,6.7
731,9/15/2022,Phường Thới Hòa,Thị xã Bến Cát,Bình Dương,150.0,30.0,5.0,1,Unknow,1.8
732,9/15/2022,Xã Lộc Ngãi,Huyện Bảo Lâm,Lâm Đồng,120.0,5.0,24.0,1,Unknow,0.43
733,9/15/2022,Xã Mỹ Hà,Huyện Lạng Giang,Bắc Giang,110.0,0.0,0.0,1,Unknow,0.6
734,9/15/2022,Xã Định Thành,Huyện Dầu Tiếng,Bình Dương,319.0,60.0,5.0,1,Unknow,1.4
735,9/15/2022,Xã Minh Thạnh,Huyện Dầu Tiếng,Bình Dương,369.0,35.0,10.0,1,Unknow,0.95
736,9/15/2022,Phường Tân An,Tp. Buôn Ma Thuột,Đắk Lắk,120.0,5.0,23.99,1,Đ.Bắc,5.0
737,9/15/2022,Xã Tân Hưng,Huyện Hớn Quản,Bình Phước,729.0,55.0,13.0,0,Unknow,0.325
738,9/15/2022,Xã Minh Thạnh,Huyện Dầu Tiếng,Bình Dương,350.0,10.0,35.0,1,Unknow,1.2
739,9/15/2022,Xã Tân Lợi,Huyện Đồng Phú,Bình Phước,1000.0,100.0,10.0,1,T.Bắc,0.66
740,9/15/2022,Xã Minh Thạnh,Huyện Dầu Tiếng,Bình Dương,360.0,10.0,36.0,0,Unknow,0.95
741,9/15/2022,Xã Thạnh Bình,Huyện Tân Biên,Tây Ninh,175.0,0.0,0.0,0,Unknow,0.479
742,9/15/2022,Phường Hòa Cường Nam,Quận Hải Châu,TP. Đà Nẵng,50.0,0.0,0.0,0,Unknow,2.35
743,9/15/2022,phường Thống Nhất,Biên Hòa,Đồng Nai,135.7,18.0,6.0,1,Unknow,4.1
744,9/15/2022,Xã Vạn Long,Huyện Vạn Ninh,Khánh Hòa,120.0,0.0,0.0,0,Unknow,1.92
745,9/15/2022,Phường 25,Quận Bình Thạnh,TP. Hồ Chí Minh,250.0,50.0,5.0,1,Unknow,0.32
746,9/15/2022,Xã Sông Xoài,Thị xã Phú Mỹ,Bà Rịa - Vũng Tàu,200.0,40.0,5.0,1,Đ.Nam,1.54
747,9/15/2022,Xã Tân Phúc,Huyện Hàm Tân,Bình Thuận,100000.0,0.0,0.0,0,Unknow,230.0
748,9/15/2022,Phường Phú Mỹ,Thị xã Phú Mỹ,Bà Rịa - Vũng Tàu,100.0,20.0,5.0,1,Đ.Nam,1.7
749,9/15/2022,Phường An Phú,Tp. Thuận An,Bình Dương,98.0,17.5,5.5,1,Đ.Nam,2.5
