"Mã tỉnh thành","Tỉnh Thành","Mã huyện thị","Quận Huyện"
"74","Bình Dương","726","Huyện Bắc Tân Uyên"
"75","Đồng Nai","731","Thành phố Biên Hòa"
"75","Đồng Nai","732","Thành phố Long Khánh"
"75","Đồng Nai","734","Huyện Tân Phú"
"75","Đồng Nai","735","Huyện Vĩnh Cửu"
"75","Đồng Nai","736","Huyện Định Quán"
"75","Đồng Nai","737","Huyện Trảng Bom"
"75","Đồng Nai","738","Huyện Thống Nhất"
"75","Đồng Nai","739","Huyện Cẩm Mỹ"
"75","Đồng Nai","740","Huyện Long Thành"
"75","Đồng Nai","741","Huyện Xuân Lộc"
"75","Đồng Nai","742","Huyện Nhơn Trạch"
"77","Bà Rịa-Vũng Tàu","747","Thành phố Vũng Tàu"
"77","Bà Rịa-Vũng Tàu","748","Thành phố Bà Rịa"
"77","Bà Rịa-Vũng Tàu","750","Huyện Châu Đức"
"77","Bà Rịa-Vũng Tàu","751","Huyện Xuyên Mộc"
"77","Bà Rịa-Vũng Tàu","752","Huyện Long Điền"
"77","Bà Rịa-Vũng Tàu","753","Huyện Đất Đỏ"
"77","Bà Rịa-Vũng Tàu","754","Thị xã Phú Mỹ"
"77","Bà Rịa-Vũng Tàu","755","Huyện Côn Đảo"
"79","Hồ Chí Minh","760","Quận 1"
"79","Hồ Chí Minh","761","Quận 12"
"79","Hồ Chí Minh","764","Quận Gò Vấp"
"79","Hồ Chí Minh","765","Quận Bình Thạnh"
"79","Hồ Chí Minh","766","Quận Tân Bình"
"79","Hồ Chí Minh","767","Quận Tân Phú"
"79","Hồ Chí Minh","768","Quận Phú Nhuận"
"79","Hồ Chí Minh","769","Thành phố Thủ Đức"
"79","Hồ Chí Minh","770","Quận 3"
"79","Hồ Chí Minh","771","Quận 10"
"79","Hồ Chí Minh","772","Quận 11"
"79","Hồ Chí Minh","773","Quận 4"
"79","Hồ Chí Minh","774","Quận 5"
"79","Hồ Chí Minh","775","Quận 6"
"79","Hồ Chí Minh","776","Quận 8"
"79","Hồ Chí Minh","777","Quận Bình Tân"
"79","Hồ Chí Minh","778","Quận 7"
"79","Hồ Chí Minh","783","Huyện Củ Chi"
"79","Hồ Chí Minh","784","Huyện Hóc Môn"
"79","Hồ Chí Minh","785","Huyện Bình Chánh"
"79","Hồ Chí Minh","786","Huyện Nhà Bè"
"79","Hồ Chí Minh","787","Huyện Cần Giờ"
"80","Long An","794","Thành phố Tân An"
"80","Long An","795","Thị xã Kiến Tường"
"80","Long An","796","Huyện Tân Hưng"
"80","Long An","797","Huyện Vĩnh Hưng"
"80","Long An","798","Huyện Mộc Hóa"
"80","Long An","799","Huyện Tân Thạnh"
"80","Long An","800","Huyện Thạnh Hóa"
"80","Long An","801","Huyện Đức Huệ"
"80","Long An","802","Huyện Đức Hòa"
"80","Long An","803","Huyện Bến Lức"
"80","Long An","804","Huyện Thủ Thừa"
"80","Long An","805","Huyện Tân Trụ"
"80","Long An","806","Huyện Cần Đước"
"80","Long An","807","Huyện Cần Giuộc"
"80","Long An","808","Huyện Châu Thành"
"82","Tiền Giang","815","Thành phố Mỹ Tho"
"82","Tiền Giang","816","Thị xã Gò Công"
"82","Tiền Giang","817","Thị xã Cai Lậy"
"82","Tiền Giang","818","Huyện Tân Phước"
"82","Tiền Giang","819","Huyện Cái Bè"
"82","Tiền Giang","820","Huyện Cai Lậy"
"82","Tiền Giang","821","Huyện Châu Thành"
"82","Tiền Giang","822","Huyện Chợ Gạo"
"82","Tiền Giang","823","Huyện Gò Công Tây"
"82","Tiền Giang","824","Huyện Gò Công Đông"
"82","Tiền Giang","825","Huyện Tân Phú Đông"
"83","Bến Tre","829","Thành phố Bến Tre"
"83","Bến Tre","831","Huyện Châu Thành"
"83","Bến Tre","832","Huyện Chợ Lách"
"83","Bến Tre","833","Huyện Mỏ Cày Nam"
"83","Bến Tre","834","Huyện Giồng Trôm"
"83","Bến Tre","835","Huyện Bình Đại"
"83","Bến Tre","836","Huyện Ba Tri"
"83","Bến Tre","837","Huyện Thạnh Phú"
"83","Bến Tre","838","Huyện Mỏ Cày Bắc"
"84","Trà Vinh","842","Thành phố Trà Vinh"
"84","Trà Vinh","844","Huyện Càng Long"
"84","Trà Vinh","845","Huyện Cầu Kè"
"84","Trà Vinh","846","Huyện Tiểu Cần"
"84","Trà Vinh","847","Huyện Châu Thành"
"84","Trà Vinh","848","Huyện Cầu Ngang"
"84","Trà Vinh","849","Huyện Trà Cú"
"84","Trà Vinh","850","Huyện Duyên Hải"
"84","Trà Vinh","851","Thị xã Duyên Hải"
"86","Vĩnh Long","855","Thành phố Vĩnh Long"
"86","Vĩnh Long","857","Huyện Long Hồ"
"86","Vĩnh Long","858","Huyện Mang Thít"
"86","Vĩnh Long","859","Huyện Vũng Liêm"
"86","Vĩnh Long","860","Huyện Tam Bình"
"86","Vĩnh Long","861","Thị xã Bình Minh"
"86","Vĩnh Long","862","Huyện Trà Ôn"
"86","Vĩnh Long","863","Huyện Bình Tân"
"87","Đồng Tháp","866","Thành phố Cao Lãnh"
"87","Đồng Tháp","867","Thành phố Sa Đéc"
"87","Đồng Tháp","868","Thành phố Hồng Ngự"
"87","Đồng Tháp","869","Huyện Tân Hồng"
"87","Đồng Tháp","870","Huyện Hồng Ngự"
"87","Đồng Tháp","871","Huyện Tam Nông"
"87","Đồng Tháp","872","Huyện Tháp Mười"
"87","Đồng Tháp","873","Huyện Cao Lãnh"
"87","Đồng Tháp","874","Huyện Thanh Bình"
"87","Đồng Tháp","875","Huyện Lấp Vò"
"87","Đồng Tháp","876","Huyện Lai Vung"
"87","Đồng Tháp","877","Huyện Châu Thành"
"89","An Giang","883","Thành phố Long Xuyên"
"89","An Giang","884","Thành phố Châu Đốc"
"89","An Giang","886","Huyện An Phú"
"89","An Giang","887","Thị xã Tân Châu"
"89","An Giang","888","Huyện Phú Tân"
"89","An Giang","889","Huyện Châu Phú"
"89","An Giang","890","Huyện Tịnh Biên"
"89","An Giang","891","Huyện Tri Tôn"
"89","An Giang","892","Huyện Châu Thành"
"89","An Giang","893","Huyện Chợ Mới"
"89","An Giang","894","Huyện Thoại Sơn"
"91","Kiên Giang","899","Thành phố Rạch Giá"
"91","Kiên Giang","900","Thành phố Hà Tiên"
"91","Kiên Giang","902","Huyện Kiên Lương"
"91","Kiên Giang","903","Huyện Hòn Đất"
"91","Kiên Giang","904","Huyện Tân Hiệp"
"91","Kiên Giang","905","Huyện Châu Thành"
"91","Kiên Giang","906","Huyện Giồng Riềng"
"91","Kiên Giang","907","Huyện Gò Quao"
"91","Kiên Giang","908","Huyện An Biên"
"91","Kiên Giang","909","Huyện An Minh"
"91","Kiên Giang","910","Huyện Vĩnh Thuận"
"91","Kiên Giang","911","Thành phố Phú Quốc"
"91","Kiên Giang","912","Huyện Kiên Hải"
"91","Kiên Giang","913","Huyện U Minh Thượng"
"91","Kiên Giang","914","Huyện Giang Thành"
"92","Cần Thơ","916","Quận Ninh Kiều"
"92","Cần Thơ","917","Quận Ô Môn"
"92","Cần Thơ","918","Quận Bình Thuỷ"
"92","Cần Thơ","919","Quận Cái Răng"
"92","Cần Thơ","923","Quận Thốt Nốt"
"92","Cần Thơ","924","Huyện Vĩnh Thạnh"
"92","Cần Thơ","925","Huyện Cờ Đỏ"
"92","Cần Thơ","926","Huyện Phong Điền"
"92","Cần Thơ","927","Huyện Thới Lai"
"93","Hậu Giang","930","Thành phố Vị Thanh"
"93","Hậu Giang","931","Thành phố Ngã Bảy"
"93","Hậu Giang","932","Huyện Châu Thành A"
"93","Hậu Giang","933","Huyện Châu Thành"
"93","Hậu Giang","934","Huyện Phụng Hiệp"
"93","Hậu Giang","935","Huyện Vị Thuỷ"
"93","Hậu Giang","936","Huyện Long Mỹ"
"93","Hậu Giang","937","Thị xã Long Mỹ"
"94","Sóc Trăng","941","Thành phố Sóc Trăng"
"94","Sóc Trăng","942","Huyện Châu Thành"
"94","Sóc Trăng","943","Huyện Kế Sách"
"94","Sóc Trăng","944","Huyện Mỹ Tú"
"94","Sóc Trăng","945","Huyện Cù Lao Dung"
"94","Sóc Trăng","946","Huyện Long Phú"
"94","Sóc Trăng","947","Huyện Mỹ Xuyên"
"94","Sóc Trăng","948","Thị xã Ngã Năm"
"94","Sóc Trăng","949","Huyện Thạnh Trị"
"94","Sóc Trăng","950","Thị xã Vĩnh Châu"
"94","Sóc Trăng","951","Huyện Trần Đề"
"95","Bạc Liêu","954","Thành phố Bạc Liêu"
"95","Bạc Liêu","956","Huyện Hồng Dân"
"95","Bạc Liêu","957","Huyện Phước Long"
"95","Bạc Liêu","958","Huyện Vĩnh Lợi"
"95","Bạc Liêu","959","Thị xã Giá Rai"
"95","Bạc Liêu","960","Huyện Đông Hải"
"95","Bạc Liêu","961","Huyện Hoà Bình"
"96","Cà Mau","964","Thành phố Cà Mau"
"96","Cà Mau","966","Huyện U Minh"
"96","Cà Mau","967","Huyện Thới Bình"
"96","Cà Mau","968","Huyện Trần Văn Thời"
"96","Cà Mau","969","Huyện Cái Nước"
"96","Cà Mau","970","Huyện Đầm Dơi"
"96","Cà Mau","971","Huyện Năm Căn"
"96","Cà Mau","972","Huyện Phú Tân"
"96","Cà Mau","973","Huyện Ngọc Hiển"
